"","kdagur","nuvirdi","teg_eign","svfn","aldur","fjmib","lyfta","ummal","ibm2","fjhaed","fjbkar","fjsturt","fjklos","fjeld","fjherb","fjstof","stig10","bilskurm2","svalm2","geymm2","matssvaedi","undirmatssvaedi","ibteg"
"1",2193,10.4354678303745,"Ibudareign","Kop",19,"1","0",76.1,4.85670681180352,"2","1","0","1","1","3","1",9.6,0,664,2.27212588550934,"340","0","2"
"2",1936,10.0935705777238,"Ibudareign","Mos",59,"1","0",43.1,4.64535197562092,"1","1","1","1","1","2","2",10,27.8,157,1.41098697371026,"810","0","1"
"3",1158,9.70503661381229,"Ibudareign","Rvk",45,"1","0",61,4.05525717351405,"1","1","0","1","1","1","1",10,0,1,2.41591377830105,"161","0","2"
"4",1153,10.2353420007078,"Ibudareign","Rvk",39,"1","1",116.7,4.28771595520264,"1","1","0","1","1","2","1",10,0,615,-1.8,"72","0","2"
"5",856,10.4513777204389,"Ibudareign","Grb",14,"1","0",84.8,4.76046307039413,"1","1","1","1","1","3","1",10,0,653,-1.8,"700","0","2"
"7",1214,10.0958831949016,"Ibudareign","Hfj",27,"1","0",61,4.56434819146784,"1","1","0","1","1","3","1",10,0,1,1.70474809223843,"620","0","2"
"9",1181,10.7649207509256,"Einbylishus","Rvk",22,"1","0",40,5.32495929749446,"3","1","1","2","1","5","2",9.9,70,1,-1.8,"290","0","1"
"10",1936,9.35444071594994,"Ibudareign","Rvk",74,"1","0",32.8,3.76584049525006,"1","0","1","1","1","1","1",10,0,1,0.182321556793955,"100","0","2"
"12",2280,10.1336067175868,"Ibudareign","Kop",30,"1","0",76.3,4.56642935767166,"1","1","0","1","1","2","1",10,25.9,529,1.97408102602201,"330","0","2"
"16",2279,10.1367002395271,"Ibudareign","Grb",12,"1","1",320.5,4.60816569496789,"1","0","1","2","1","1","1",10,0,1,2.29253475714054,"510","0","2"
"17",2279,9.960859832394,"Ibudareign","Hfj",60,"1","0",43.1,4.83150862819882,"2","0","1","1","1","3","2",10,0,517,-1.8,"680","0","1"
"18",2279,10.1540127805916,"Ibudareign","Kop",15,"1","1",96,4.63763737612559,"1","1","0","1","1","3","1",10,0,28,2.24070968927596,"340","0","2"
"19",2279,10.4746083320859,"Ibudareign","Kop",6,"1","1",86,4.64342889810518,"1","1","1","1","1","2","1",10,0,77,2.15176220325946,"320","44","2"
"20",2280,11.0135342188299,"Einbylishus","Kop",19,"1","0",93.6,5.30330490805908,"1","1","1","2","1","4","1",10,31,268,-1.8,"340","0","1"
"21",2280,11.3659440246213,"Einbylishus","Kop",10,"1","0",60,5.75827065994027,"2","1","2","2","1","5","1",10,36,305,-1.8,"351","0","1"
"22",2280,10.1445888932241,"Ibudareign","Rvk",19,"1","0",91.4,4.46590811865458,"1","1","1","1","1","2","1",10,0,604,3.4307561839037,"130","0","2"
"23",2280,10.3218688859108,"Ibudareign","Mos",13,"1","1",107,4.70592008908823,"1","0","1","1","1","2","1",10,0,1,1.97408102602201,"840","0","2"
"24",2278,9.76955607989027,"Ibudareign","Rvk",37,"1","0",64.5,3.94545778151438,"1","1","0","1","1","1","1",10,0,529,1.62924053973028,"72","0","2"
"28",2278,10.6748912310618,"Einbylishus","Hfj",30,"1","0",55.7,5.04342511691925,"1","1","1","2","1","4","1",10,31.6,1,-1.8,"600","0","1"
"29",2279,9.90348755253613,"Ibudareign","Hfj",29,"1","1",371,4.29592393562047,"1","1","0","1","1","1","1",10,0,512,-1.8,"600","0","2"
"30",2280,10.015028927269,"Ibudareign","Rvk",17,"1","0",58.1,4.54754107315146,"1","0","1","1","1","2","1",10,0,585,2.26176309847379,"130","0","2"
"31",2278,10.1345992734995,"Ibudareign","Kop",14,"1","1",96.5,4.46590811865458,"1","0","1","1","1","2","1",10,0,33,2.06686275947298,"340","0","2"
"32",2279,9.75684197219464,"Ibudareign","Rvk",138,"1","0",51,3.98713047791495,"1","0","1","1","1","1","1",10,0,1,-1.8,"20","0","2"
"33",2280,9.96646235169752,"Ibudareign","Rvk",14,"1","1",116.6,4.41037110768302,"1","1","0","1","1","2","1",9.6,0,649,2.17475172148416,"180","0","2"
"34",2280,10.1556460689189,"Ibudareign","Rvk",47,"1","0",58,4.50202942706858,"1","1","1","1","1","3","2",10,0,64,-1.8,"280","0","2"
"35",2279,9.97450503977141,"Ibudareign","Rvk",79,"1","0",36,4.39197696552705,"1","1","0","1","1","1","2",10,0,332,-1.8,"90","12","2"
"36",2280,10.2679917675892,"Radhus","Rvk",28,"1","0",36,4.83150862819882,"3","1","1","2","1","4","2",10,0,1,-1.8,"120","37","1"
"37",2280,10.9696627339476,"Ibudareign","Rvk",8,"1","1",222.7,5.1834675248691,"1","0","2","2","1","2","1",10,0,661,2.40694510831829,"90","46","2"
"38",2277,10.4191514529424,"Ibudareign","Grb",12,"1","1",320.5,4.60816569496789,"1","0","1","1","1","1","1",10,0,542,1.96009478404727,"510","0","2"
